id,username,name,description,location,followers,following,tweets,listed,verified,verified_type,created_at,profile_image_url
2052672304518459393,choco_synapse,祈園のあ🏳️‍⚧️,,,1,22,2,1,False,,2026-05-08T08:50:52.000Z,https://pbs.twimg.com/profile_images/2052673154141814784/M3-lzRmk_normal.jpg
2050073911635894272,Lomyral114514,Lomyral 3.0(已老实),"enby，he/they，无浪漫倾向泛性恋。
INTP/重抑中焦。
不吸毒，不贩卖任何东西，不提供任何付费服务。
这里是三号机，互关寻回中",The other side of paradise,579,386,554,2,False,,2026-05-01T04:44:51.000Z,https://pbs.twimg.com/profile_images/2050074118356434944/ebr8JW3N_normal.jpg
2048366901810597889,AiYin78636,Ayin,🏳️‍⚧️infp,,34,218,4,1,False,,2026-04-26T11:41:52.000Z,https://pbs.twimg.com/profile_images/2048367180798992384/-xYS1cxM_normal.jpg
2046955236531855360,xmliu114514,Liuxm☭❂🇨🇳🇹🇼🇭🇰🇲🇴🏳️‍⚧️🍥,小号：@xm0347347185242/药娘/MtF/🏳️‍⚧️|中国人🇨🇳/反台独/左翼青年/包容不同政见(台独除外)/不反日/两岸和统/可以互fo/不主动b人/入🚪89.64/刚开始发育求夸🥹 /如果讨厌就屏蔽我吧😊(🇨🇳=🇨🇳🇭🇰🇹🇼🇲🇴),,272,212,206,1,False,,2026-04-22T14:12:44.000Z,https://pbs.twimg.com/profile_images/2051459333859545088/XuF551dc_normal.jpg
2046238259919912960,Type_zhi,知式🍥🏳️‍⚧️,🏳️‍⚧️🍥/一只17岁的xyn..../hrt🍥:2025-1-19/生日🎂2009-03-07 03:37/在读女高（确信）/有小证了捏🥺/还在上学喵☺️/想和大家做朋友喵 欢迎扩列喵🤓（限跨性别）/现居湖北/还有myl你还我的号😭😭,湖北,846,529,137,2,False,,2026-04-20T14:43:50.000Z,https://pbs.twimg.com/profile_images/2046251484065771520/Q4-YXewi_normal.jpg
2045829915149324288,PoisonlQAQ,Poisonl🍥🏳️‍⚧️,"无证含糖🍥|HRT日期2026.01.08|年龄13|159cm/40.9kg|抑郁焦虑|不OD|同类互fo
|抖音账号72882568481","Nara-shi, Nara",44,70,9,1,False,,2026-04-19T11:40:58.000Z,https://pbs.twimg.com/profile_images/2045831253879103488/v4e72qg7_normal.jpg
2045308579729625089,cybercat868,cybercat（白鸠叶）🏳️‍⚧️,大家好喵，我是白鸠叶，一位mtf，喜欢电脑，archlinuxcn社区，不自残与od，十分严重的自杀想法,,103,146,375,2,False,,2026-04-18T01:11:09.000Z,https://pbs.twimg.com/profile_images/2045309124850671616/F0k1u4nr_normal.jpg
2044896801497509888,hasmiku520,Puuki🏳️‍⚧️🍥,"感谢关注喵！|2009.12.22|浙江 温州|信竞小菜喵
高一物化技desu|关注滴咱都会回关desuwa！|家长反对党
探索X中喵w|《云律茶馆》游戏制作喵|割手手喵w
菜菜音游入｜ＰＪＳＫ｜hrt 26.4.21|无证含糖
不讨论政治喵~🇨🇳🇹🇼一家亲啦～各具优势，和平相处！
没回应该是被限制发言惹喵ww",浙江省,414,409,733,2,False,,2026-04-16T21:53:12.000Z,https://pbs.twimg.com/profile_images/2044897193967190016/SOBDwJyV_normal.jpg
2044319134326964224,Allenium114,🍁🍥iLYA🍥🍁,"@xldmtx 的私人账号。

会放面熟的人进。",棍母所栖之处,219,215,726,2,False,,2026-04-15T07:37:25.000Z,https://pbs.twimg.com/profile_images/2044319211884032000/COXjezdU_normal.jpg
2041687695424950273,ccshuile,cc🏳️‍⚧️,🥗🍥我不要再喜欢任何人了,,1128,32,234,5,False,,2026-04-08T01:21:03.000Z,https://pbs.twimg.com/profile_images/2041688275296120832/e5yGXjI3_normal.jpg
